aeronave_ou_escopo,manobra_codigo_atual,manobra_nome_atual,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa,modelos_que_utilizam,quantidade_de_modelos,observacao_documental
AW139,A139-APP-01,Precision approach,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-I-07/12; A139-I-09/12; A139-I-10/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-REQ-01; A139-S-02/02,9,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-APP-02,Non-precision approach,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-I-07/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-S-02/02,6,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-APP-03,Missed approach,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-I-09/12; A139-I-10/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-REQ-01; A139-S-02/02,8,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-APP-04,Aproximação grande ângulo,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-05/12; A139-I-10/12; A139-REQ-01,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-01,Performance e Cálculos de Decolagem IFR,PRE,BRIEFING,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-02,"Planejamento IFR, Mínimos e Alternado",PRE,BRIEFING,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-03,Configuração Completa do FMS,PRE,BRIEFING,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-04,"Briefing de Missão, TEM e Critérios de Decisão",PRE,BRIEFING,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-05,"Inspeção, Acionamento e Checklists",SOL,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-06,Hover Check e Taxi IFR,SOL,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-07,Decolagem IFR — Perfil CAT A em IMC,SOL,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-08,OEI Pós-TDP — Fly-Away Monomotor IFR,EME,EMERGENCIA,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-09,Navegação IFR en Route e Gestão de FMS,VOO,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
