tipo_alteracao,manobra_id,codigo_anterior,codigo_atual,nome_anterior,nome_atual,modelos_afetados,aeronaves_afetadas,origem_anterior,origem_atual,evidencia,impacto_no_pto,decisao_humana_necessaria
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-01/12,A139-I-01/12,,Familiarização / Checklist Normal / Voo Normal,A139-I-01/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-02/12,A139-I-02/12,,Voo Visual e Perfil Básico,A139-I-02/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-03/12,A139-I-03/12,,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",A139-I-03/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-04/12,A139-I-04/12,,"AFCS Normal, Automação e Degradações",A139-I-04/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-05/12,A139-I-05/12,,IFR/PBN - Navegação e Aproximações,A139-I-05/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-06/12,A139-I-06/12,,CAT A/B e Emergencias de Powerplant,A139-I-06/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-07/12,A139-I-07/12,,Aviônicos - Falhas de Display e Air Data,A139-I-07/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=19; adicionadas=15,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-08/12,A139-I-08/12,,"Rotor, Transmissão e Sistema Hidráulico",A139-I-08/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=21; adicionadas=17,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-09/12,A139-I-09/12,,Fogo/Fumaça e Emergências Avançadas,A139-I-09/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
DIVERGENCIA_NAO_RESOLVIDA,,A139-I-10/12,A139-I-10/12,,Offshore e Helideck,A139-I-10/12,AW139,docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv,production-d1-read-only:2026-07-15,baseline 2026-07-02 tinha 22 relacoes; producao atual tem 18; removidas=22; adicionadas=18,"Tratar este registro como evidencia parcial de transicao; para atualizar o PTO, usar diretamente o CSV canonico de 2026-07-15 para codigo, nome, ordem, aplicabilidade e composicao atual da sessao.",SOMENTE_SE_HOUVER_QUESTAO_PEDAGOGICA_OU_REGULATORIA_REAL
