aeronave,modelo_sessao_codigo,modelo_sessao_nome,finalidade,ordem,manobra_codigo,manobra_nome,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,1,A139-TRE-01B,Cabine AW139 e power-up,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,2,A139-PRC-01,Normal checklist — preparação noturna,PROCEDIMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,3,A139-TRE-01C,"Leitura, priorização e reconhecimento básico de CAS sem pane simulada",TREINAMENTO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,4,A139-PRC-01A,Localização guiada de procedimento no QRH sem execução de emergência,PROCEDIMENTO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,5,A139-TRE-01,"Engajamento, monitoramento e desconexão normal dos modos básicos do AFCS",TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,6,A139-TRE-01S,Taxi/deslocamento em solo e heliponto,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,7,A139-VOO-03,Hover & taxi,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,8,A139-TRE-01N,Controle de potência e parâmetros,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,9,A139-NRM-02,Decolagens & pousos,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,10,A139-VOO-01,Controle geral VFR,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
