codigo_sessao;ordem_final;codigo_manobra;nome_manobra;fase;estado_inicial;estado_final;transicao;reset;reposicionamento;tempo_estimado;competencia;notechs;origem;justificativa
S76-NOT-01;1;S76-CKL-01;Checklist/Preparação;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;2;S76-NVF-00;Procedimentos Normais VFR;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;3;S76-HOV-00;Hover/Táxi;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;4;S76-DNR-01;Decolagem Normal Noturna;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;5;S76-SUB-01;Subida Controlada Noturna;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;6;S76-NDL-00;Circuito Padrão Noturno;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;7;S76-LOFT-33;Black Hole Effect — Correção e Recuperação (SK76);EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;SUBSTITUIU OPS-NOT-X1 (posição 7) — ver 03/04;
S76-NOT-01;8;76-FALGC;Falha de Gerador DC;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;9;76-FALFF;Falha Feeder/Bateria;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;10;76-FLWNR;Fluxo de Combustível Anormal;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;11;76-MOTCZ;Falha de Motor em Cruzeiro;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;12;S76-CKL-03;ECL Falha de Motor;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;13;S76-OEI-01;Perfil OEI Noturno;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;14;S76-APN-01;Aproximação Normal Noturna;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;15;S76-ARN-01;Arremetida Noturna;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;16;S76-AUT-70;Autorrotação;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-01;17;S76-PNO-01;Pouso Normal Noturno;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
