codigo_sessao;status_anterior;status_final;acao;motivo;risco;confianca;fonte_decisao
A139-I-01/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-02/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-03/12;REDESENHO;REDESENHO;BLOQUEAR_TEMPORARIAMENTE;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-04/12;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-05/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-06/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-07/12;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-08/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-09/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-10/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-11/12;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-I-12/12;REDESENHO;REDESENHO;BLOQUEAR_TEMPORARIAMENTE;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-NOT-01;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-NOT-02;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-01/04-C1;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
