codigo,nome,tipo,tipo_compatibilidade,codigo_icao,latitude_dms,longitude_dms,latitude_decimal,longitude_decimal,elevacao_ft,declinacao_magnetica_graus,declinacao_magnetica_direcao,coordenada_valida,permite_origem_destino,revisao_pendente,classificacao_origem,fonte_pagina
3-R1,Unidade 3R1 - 16 VHF,plataforma,plataforma,9PER,19º33'52''S,039º15'14''W,-19.564444444444444,-39.25388888888889,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
3R2,PETROLEUM (P61),plataforma,plataforma,9PHP,23º30'00''S,041º03'00''W,-23.5,-41.05,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
3R3,PETROLEUM 3R3 (P63),plataforma,plataforma,9PHD,23º30'47''S,041º03'50''W,-23.513055555555557,-41.06388888888888,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
9PDJ,NS32,plataforma,plataforma,9PDJ,22º32'45''S,040º02'04''W,-22.545833333333334,-40.03444444444444,0,21,W,1,1,0,INFERIDA_DESCRICAO,1
ACCO,"NAVIO / Seven Condor, BC",plataforma,plataforma,9PSW,22º38'56''S,040º05'06''W,-22.648888888888887,-40.085,50,5,W,1,1,0,INFERIDA_DESCRICAO,1
ACHA,"NAVIO / Acergy Harrier, BC",embarcacao,plataforma,,22º08'00''S,040º10'00''W,-22.133333333333333,-40.166666666666664,0,24,W,1,1,0,INFERIDA_DESCRICAO,1
ACPE,NAVIO / Acergy Pertinácia,plataforma,plataforma,9PLS,25º13'27''S,042º53'00''W,-25.224166666666665,-42.88333333333333,0,22,W,1,1,0,INFERIDA_DESCRICAO,1
AÇU,Porto do Açú- São João da Barra,waypoint,,,21º52'22''S,040º59'44''W,-21.872777777777777,-40.995555555555555,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
ADDT,ADDT,waypoint,,,23º33'59''S,041º01'58''W,-23.56638888888889,-41.032777777777774,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
AGIL,NAVIO / Agile PLSV,plataforma,plataforma,9PEU,00º00'00''S,000º00'00''W,0,0,73,22,W,0,0,1,INFERIDA_DESCRICAO,1
AKSA,"NAVIO / Akofs Santos, BS",plataforma,plataforma,9PBF,24º29'00''S,044º07'00''W,-24.483333333333334,-44.11666666666667,65,22,W,1,1,0,INFERIDA_DESCRICAO,1
AKVIB,AKVIB,waypoint,,,23º12'00''S,041º02'00''W,-23.2,-41.03333333333333,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
ALDIV,PONTO DE NOTIFICAÇÃO - ENTRADA,waypoint,,,24º20'00''S,042º40'00''W,-24.333333333333332,-42.666666666666664,,23,W,1,0,1,INFERIDA_DESCRICAO,1
AMAD,NAVIO / Amadeus,plataforma,plataforma,9PAU,03º03'00''N,049º17'00''W,3.05,-49.28333333333333,,19,W,1,1,1,INFERIDA_DESCRICAO,1
AMAZON,JLV AMAZON,plataforma,plataforma,9PKZ,21º52'56''S,040º53'46''W,-21.88222222222222,-40.89611111111111,,23,W,1,1,1,INFERIDA_DESCRICAO,1
ANDO,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º21'14''S,040º50'30''W,-22.35388888888889,-40.84166666666667,,23,W,1,0,1,INFERIDA_DESCRICAO,1
ANKOP,PONTO DE NOTIFICAÇÃO - ENTRADA,waypoint,,,23º12'18''S,042º48'20''W,-23.205,-42.80555555555555,,23,W,1,0,1,INFERIDA_DESCRICAO,1
APOLLO,PGS APOLLO - CANAL MARÍTIMO 16,plataforma,plataforma,9PLL,22º51'00''S,043º09'00''W,-22.85,-43.15,0,24,W,1,1,0,INFERIDA_DESCRICAO,1
ARCAD,Plataforna ARCADIA,waypoint,,,22º34'48''S,041º33'37''W,-22.58,-41.56027777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
ARCT,PLATAFORMA / GFS ARCTIC I,plataforma,plataforma,9PAR,23º00'37''S,043º04'21''W,-23.010277777777777,-43.072500000000005,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
ARTE,ARTEMIS ODYSSEY,plataforma,plataforma,9PTD,24º38'00''S,042º28'00''W,-24.633333333333333,-42.46666666666667,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
ARUBU,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,25º00'00''S,043º10'00''W,-25,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,1
ASIGO,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,25º00'00''S,042º50'00''W,-25,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,1
ATLA,"NAVIO / TOP CORAL DO ATLANTICO, BS",plataforma,plataforma,9PIZ,21º54'11''S,039º45'00''W,-21.903055555555554,-39.75,76,23,W,1,1,0,INFERIDA_DESCRICAO,1
ATLANT,FPSO ATLANTA,plataforma,plataforma,9PLT,24º06'01''S,041º53'14''W,-24.10027777777778,-41.88722222222222,0,22,W,1,1,0,INFERIDA_DESCRICAO,1
AV 04,AV 04,waypoint,,,04º42'47''S,064º44'09''W,-4.713055555555556,-64.73583333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV 06,CLAREIRA AV06,base,,,04º31'49''S,064º26'13''W,-4.530277777777778,-64.43694444444445,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV 15,AV 15,waypoint,,,04º06'33''S,063º32'36''W,-4.109166666666666,-63.54333333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV03,CLAREIRA AV 03,base,,,04º43'44''S,064º45'46''W,-4.728888888888889,-64.76277777777777,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV04,CLAREIRA AV04,base,,,04º42'47''S,064º44'09''W,-4.713055555555556,-64.73583333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV10,CLAREIRA AV10,base,,,04º22'30''S,064º09'10''W,-4.375,-64.15277777777779,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV11,AV11,waypoint,,,04º18'00''S,063º58'00''W,-4.3,-63.96666666666667,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV13,CLAREIRA AV13,base,,,04º15'02''S,063º45'29''W,-4.250555555555556,-63.75805555555556,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV18,AV 18,waypoint,,,03º58'53''S,063º18'37''W,-3.981388888888889,-63.31027777777778,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AVOS,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º08'10''S,041º37'10''W,-22.13611111111111,-41.61944444444445,,23,W,1,0,1,INFERIDA_DESCRICAO,1
BAKUT,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,23º09'08''S,042º41'15''W,-23.15222222222222,-42.6875,,23,W,1,0,1,INFERIDA_DESCRICAO,1
BAR,BARRA,waypoint,,,23º01'31''S,043º19'43''W,-23.025277777777777,-43.328611111111115,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
BARRA,PONTO DE NOTIFICAÇÃO,waypoint,,,23º00'05''S,043º08'04''W,-23.00138888888889,-43.13444444444444,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
BASE11,BASES11,waypoint,,,06º21'08''S,050º26'07''W,-6.352222222222222,-50.43527777777778,0,20,W,1,0,0,INFERIDA_DESCRICAO,1
BAT3,LOCAÇÃO BAT3 (ROSNEFT),base,,,04º34'15''S,065º32'20''W,-4.570833333333333,-65.53888888888889,0,10,W,1,0,0,INFERIDA_DESCRICAO,1
